epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,3765.06,0.85094,0.62458,1.16484,0.82006,0.78496,0.83744,0.50433,1.57123,0.89735,2.01011,0.000664914,0.000664914,0.000664914
186,3784.55,0.8604,0.62967,1.16161,0.80698,0.79227,0.83502,0.50559,1.58702,0.9078,2.07365,0.000655216,0.000655216,0.000655216
187,3804.38,0.85029,0.64148,1.15794,0.83306,0.7693,0.83209,0.50238,1.56517,0.92299,2.04267,0.000645557,0.000645557,0.000645557
188,3824.51,0.86347,0.63674,1.16968,0.80219,0.79981,0.83514,0.50144,1.55705,0.9113,2.04301,0.000635938,0.000635938,0.000635938
189,3843.97,0.84931,0.63788,1.15492,0.82288,0.77524,0.83081,0.49794,1.58511,0.94234,2.06931,0.00062636,0.00062636,0.00062636
190,3863.5,0.84256,0.6213,1.15743,0.81906,0.78756,0.83698,0.4982,1.62031,0.94928,2.11963,0.000616824,0.000616824,0.000616824
191,3883.52,0.83201,0.62135,1.14985,0.79905,0.79656,0.83407,0.5038,1.60683,0.9298,2.08478,0.000607331,0.000607331,0.000607331
192,3903.63,0.85059,0.61279,1.15967,0.78912,0.80823,0.83182,0.49871,1.59371,0.90951,2.08538,0.000597882,0.000597882,0.000597882
193,3923.68,0.84325,0.63006,1.16064,0.80405,0.79852,0.83377,0.49986,1.58663,0.90029,2.08202,0.000588479,0.000588479,0.000588479
194,3943.96,0.84958,0.63001,1.15683,0.83904,0.78245,0.83633,0.49695,1.57866,0.89072,2.07477,0.000579121,0.000579121,0.000579121
195,3963.4,0.85927,0.63012,1.16422,0.80574,0.79866,0.83874,0.50563,1.5832,0.90317,2.08131,0.000569811,0.000569811,0.000569811
196,3983.45,0.84709,0.63914,1.16301,0.82092,0.80318,0.84211,0.50725,1.57287,0.88718,2.02674,0.000560549,0.000560549,0.000560549
197,4003.52,0.84093,0.62094,1.1523,0.81987,0.78662,0.83529,0.50734,1.5765,0.92231,2.03227,0.000551337,0.000551337,0.000551337
198,4023.53,0.84046,0.61865,1.15514,0.79036,0.8135,0.82998,0.49988,1.57597,0.88716,2.03198,0.000542175,0.000542175,0.000542175
199,4043.25,0.83556,0.62116,1.14762,0.78823,0.83075,0.82929,0.50264,1.5577,0.87272,2.00767,0.000533064,0.000533064,0.000533064
200,4063.43,0.85507,0.62923,1.16746,0.78499,0.81001,0.83042,0.5032,1.55089,0.86175,2.01877,0.000524005,0.000524005,0.000524005
201,4083.48,0.82828,0.60479,1.139,0.82714,0.79798,0.83626,0.50357,1.54745,0.88633,2.03727,0.000515,0.000515,0.000515
202,4103.25,0.82284,0.60057,1.14399,0.79392,0.81028,0.83074,0.5026,1.55514,0.91263,2.0497,0.000506049,0.000506049,0.000506049
203,4123.37,0.81283,0.59258,1.13798,0.81894,0.78908,0.83477,0.50987,1.56868,0.9054,2.07677,0.000497153,0.000497153,0.000497153
204,4143.38,0.8369,0.61785,1.15505,0.81284,0.79414,0.83418,0.49971,1.57857,0.89134,2.0924,0.000488314,0.000488314,0.000488314
205,4162.95,0.81222,0.5728,1.13891,0.80198,0.81055,0.83093,0.50074,1.57976,0.88108,2.08583,0.000479531,0.000479531,0.000479531
206,4183.37,0.82962,0.59743,1.15142,0.83637,0.78352,0.83692,0.50558,1.57703,0.8737,2.05931,0.000470807,0.000470807,0.000470807
